instance,num_phases,w_balanced,method,k,digraph_nodes,digraph_edges,subgraph_edges,subgraph_pct,d_edges,digraph_build_s,build_s,solve_s,elapsed_s,objective,ideal_obj,obj_vs_ideal_pct,d_obj_pct,path_cost,c_min,path_cost_vs_cmin_pct,alpha_abs,phase_width,alpha_vs_width_pct,imbalance_pct,abs_time_per_phase,ops_per_phase,n_ops_total,stop_perc_graph,stop_reason
assembly_1,2,0.6,adaptive,6,343,1105,52,4.71,7,0.258,0.047,0.092,0.139,0.8407,0.8329,0.93,0.0,0.8361,0.8329,0.38,1092.52,1078.425,1.31,2.61,"[1092.52, 1064.33]","[6, 7]",13,10.0,
assembly_1,2,0.6,adaptive,8,343,1105,61,5.52,9,0.258,0.074,0.197,0.271,0.8407,0.8329,0.93,0.0,0.8361,0.8329,0.38,1092.52,1078.425,1.31,2.61,"[1092.52, 1064.33]","[6, 7]",13,10.0,
assembly_1,2,0.6,adaptive,12,343,1105,71,6.43,10,0.258,0.087,0.242,0.328,0.8407,0.8329,0.93,-0.0,0.8361,0.8329,0.38,1092.52,1078.425,1.31,2.61,"[1092.52, 1064.33]","[6, 7]",13,10.0,
assembly_1,2,0.6,adaptive,16,343,1105,82,7.42,11,0.258,0.106,0.349,0.454,0.8407,0.8329,0.93,0.0,0.8361,0.8329,0.38,1092.52,1078.425,1.31,2.61,"[1092.52, 1064.33]","[6, 7]",13,10.0,
assembly_1,2,0.6,adaptive,24,343,1105,93,8.42,11,0.258,0.212,0.247,0.459,0.8407,0.8329,0.93,-0.0,0.8361,0.8329,0.38,1092.52,1078.425,1.31,2.61,"[1092.52, 1064.33]","[6, 7]",13,10.0,
assembly_1,2,0.6,adaptive,32,343,1105,109,9.86,16,0.258,0.212,0.304,0.517,0.8407,0.8329,0.93,0.0,0.8361,0.8329,0.38,1092.52,1078.425,1.31,2.61,"[1092.52, 1064.33]","[6, 7]",13,10.0,
assembly_1,2,0.6,adaptive,48,343,1105,243,21.99,134,0.258,0.231,0.356,0.587,0.8407,0.8329,0.93,0.0,0.8361,0.8329,0.38,1092.52,1078.425,1.31,2.61,"[1092.52, 1064.33]","[6, 7]",13,10.0,stop_perc_graph
assembly_1,2,0.7,adaptive,1,343,1105,31,2.81,31,0.265,0.009,0.054,0.063,0.8415,0.8329,1.03,,0.8361,0.8329,0.38,1092.52,1078.425,1.31,2.61,"[1092.52, 1064.33]","[6, 7]",13,10.0,
assembly_1,2,0.7,adaptive,2,343,1105,36,3.26,5,0.265,0.021,0.076,0.097,0.8415,0.8329,1.03,-0.0,0.8361,0.8329,0.38,1092.52,1078.425,1.31,2.61,"[1092.52, 1064.33]","[6, 7]",13,10.0,
assembly_1,2,0.7,adaptive,3,343,1105,42,3.8,6,0.265,0.027,0.062,0.09,0.8415,0.8329,1.03,0.0,0.8361,0.8329,0.38,1092.52,1078.425,1.31,2.61,"[1092.52, 1064.33]","[6, 7]",13,10.0,
assembly_1,2,0.7,adaptive,4,343,1105,45,4.07,3,0.265,0.048,0.105,0.153,0.8415,0.8329,1.03,0.0,0.8361,0.8329,0.38,1092.52,1078.425,1.31,2.61,"[1092.52, 1064.33]","[6, 7]",13,10.0,
assembly_1,2,0.7,adaptive,6,343,1105,52,4.71,7,0.265,0.047,0.1,0.147,0.8415,0.8329,1.03,-0.0,0.8361,0.8329,0.38,1092.52,1078.425,1.31,2.61,"[1092.52, 1064.33]","[6, 7]",13,10.0,
assembly_1,2,0.7,adaptive,8,343,1105,61,5.52,9,0.265,0.072,0.257,0.329,0.8415,0.8329,1.03,0.0,0.8361,0.8329,0.38,1092.52,1078.425,1.31,2.61,"[1092.52, 1064.33]","[6, 7]",13,10.0,
assembly_1,2,0.7,adaptive,12,343,1105,71,6.43,10,0.265,0.103,0.213,0.316,0.8415,0.8329,1.03,0.0,0.8361,0.8329,0.38,1092.52,1078.425,1.31,2.61,"[1092.52, 1064.33]","[6, 7]",13,10.0,
assembly_1,2,0.7,adaptive,16,343,1105,82,7.42,11,0.265,0.105,0.357,0.462,0.8415,0.8329,1.03,-0.0,0.8361,0.8329,0.38,1092.52,1078.425,1.31,2.61,"[1092.52, 1064.33]","[6, 7]",13,10.0,
assembly_1,2,0.7,adaptive,24,343,1105,93,8.42,11,0.265,0.215,0.246,0.462,0.8415,0.8329,1.03,0.0,0.8361,0.8329,0.38,1092.52,1078.425,1.31,2.61,"[1092.52, 1064.33]","[6, 7]",13,10.0,
assembly_1,2,0.7,adaptive,32,343,1105,109,9.86,16,0.265,0.217,0.447,0.664,0.8415,0.8329,1.03,-0.0,0.8361,0.8329,0.38,1092.52,1078.425,1.31,2.61,"[1092.52, 1064.33]","[6, 7]",13,10.0,
assembly_1,2,0.7,adaptive,48,343,1105,247,22.35,138,0.265,0.235,0.302,0.537,0.8415,0.8329,1.03,0.0,0.8361,0.8329,0.38,1092.52,1078.425,1.31,2.61,"[1092.52, 1064.33]","[6, 7]",13,10.0,stop_perc_graph
assembly_1,2,0.8,adaptive,1,343,1105,31,2.81,31,0.259,0.011,0.043,0.054,0.8423,0.8329,1.12,,0.8361,0.8329,0.38,1092.52,1078.425,1.31,2.61,"[1092.52, 1064.33]","[6, 7]",13,10.0,
assembly_1,2,0.8,adaptive,2,343,1105,36,3.26,5,0.259,0.025,0.057,0.082,0.8423,0.8329,1.12,0.0,0.8361,0.8329,0.38,1092.52,1078.425,1.31,2.61,"[1092.52, 1064.33]","[6, 7]",13,10.0,
assembly_1,2,0.8,adaptive,3,343,1105,42,3.8,6,0.259,0.021,0.098,0.119,0.8423,0.8329,1.12,0.0,0.8361,0.8329,0.38,1092.52,1078.425,1.31,2.61,"[1092.52, 1064.33]","[6, 7]",13,10.0,
assembly_1,2,0.8,adaptive,4,343,1105,45,4.07,3,0.259,0.036,0.101,0.138,0.8423,0.8329,1.12,-0.0,0.8361,0.8329,0.38,1092.52,1078.425,1.31,2.61,"[1092.52, 1064.33]","[6, 7]",13,10.0,
