instance,num_phases,w_balanced,red_perc,mean_total_s,mean_solve_s,mean_build_s,mean_objective,mean_max_phase_time,std_total_s,std_solve_s,std_build_s,std_objective,std_max_phase_time
assembly_1,2,0.2,20,2.1867931979708373,1.4297958,0.7278223807923496,0.8365751795172972,1102.04,0.5212033172783076,0.4677379615435977,0.08602770480394956,8.599750569898517e-17,0.0
assembly_1,2,0.2,25,2.264049080014229,1.523922,0.7034926547668874,0.8365751795172972,1102.04,0.6787534106546609,0.668471589833405,0.08601548467572256,8.599750569898517e-17,0.0
assembly_1,2,0.2,30,1.7341656225966289,1.1279342,0.5798662950051948,0.8365751402927841,1102.04,0.26215821278710233,0.26086989766349045,0.04161952376552979,7.844902593090452e-08,0.0
assembly_1,2,0.2,35,1.7766730764182284,1.1832284,0.5745634492253885,0.8365751795172972,1102.04,0.3485536438082602,0.34691416445316847,0.05717856908833721,7.021666937153402e-17,0.0
assembly_1,2,0.2,40,1.4916824016021564,0.9267097999999999,0.5298978042323143,0.8365751795172972,1102.04,0.10641466670520884,0.10509402345404806,0.02749768314209351,7.021666937153402e-17,0.0
assembly_1,2,0.2,45,1.744885707553476,1.1446988,0.5765261045657099,0.8365751795172972,1102.04,0.20949660390355815,0.2093128744147383,0.0446230263306081,8.599750569898517e-17,0.0
assembly_1,2,0.2,50,1.512696704431437,0.8876298,0.6037064417963848,0.8365751795172972,1102.04,0.1561121861863477,0.15584349463920524,0.02396790877485114,8.599750569898517e-17,0.0
assembly_1,2,0.2,55,1.3634846984175966,0.7493375999999999,0.5921861616196111,0.8365751795172972,1102.04,0.12960294827749247,0.08956471052507231,0.0418979128961675,7.021666937153402e-17,0.0
assembly_1,2,0.2,60,1.173657877976075,0.6614308,0.49793196737300605,0.8365751795172972,1102.04,0.09098929270846655,0.09666419268043364,0.03704034267581137,1.2161883888976234e-16,0.0
assembly_1,2,0.2,65,1.2042687779758126,0.680259,0.5093506710138171,0.8365751795172972,1102.04,0.18289772376537133,0.20901825133418372,0.047752012471321346,7.021666937153402e-17,0.0
assembly_1,2,0.2,70,1.006580342212692,0.519313,0.4778727826429531,0.8365751795172972,1102.04,0.14312712990596618,0.1347343441502574,0.015505641723258821,8.599750569898517e-17,0.0
assembly_1,2,0.3,0,1.9771902080392465,1.6839309999999998,0.25310252304188907,0.838381811780289,1092.52,0.0,0.0,0.0,0.0,0.0
assembly_1,2,0.3,5,2.3723140219692143,1.8301652000000002,0.5047106588026509,0.838381811780289,1092.52,0.40259874901849085,0.4078568451956643,0.035619862460380784,7.021666937153402e-17,0.0
assembly_1,2,0.3,10,2.4422450338024646,1.864771,0.5511520429747179,0.838381811780289,1092.52,0.31216491380138506,0.30678766117886813,0.057728557686193636,4.965068306494546e-17,0.0
assembly_1,2,0.3,15,1.9500552579993382,1.2612038,0.6487080325838178,0.838381811780289,1092.52,0.2696461951938654,0.2853387584240178,0.0228083169808673,0.0,0.0
assembly_1,2,0.3,20,2.2006340876454487,1.4599942000000001,0.7124820617958904,0.838381811780289,1092.52,0.5678876437228925,0.5726491863461958,0.04948331610582788,7.021666937153402e-17,0.0
assembly_1,2,0.3,25,2.103996162582189,1.3143705999999997,0.7447061521466821,0.838381811780289,1092.52,0.2739787421840769,0.2693548097002168,0.058823506529541006,4.965068306494546e-17,0.0
assembly_1,2,0.3,30,1.6764278651913629,1.0700374,0.5788511398015543,0.838381811780289,1092.52,0.3165258038105344,0.32962012352803943,0.041363749723733634,0.0,0.0
assembly_1,2,0.3,35,1.3559588187839835,0.7425279999999999,0.5793887615902349,0.838381811780289,1092.52,0.1150393525575763,0.1408811754820352,0.036165298448709776,0.0,0.0
assembly_1,2,0.3,40,1.4348092667991295,0.7649062,0.6347295205807313,0.838381811780289,1092.52,0.06491059113995906,0.07676369799169395,0.04457058108855734,7.021666937153402e-17,0.0
assembly_1,2,0.3,45,1.3028477249667048,0.6699059999999999,0.6140269349794835,0.8383818117802889,1092.52,0.19135615510160023,0.20154824326200413,0.04997324608306182,1.7199501139797033e-16,0.0
assembly_1,2,0.3,50,1.2252072422066704,0.6142866,0.578144858404994,0.8383818117802889,1092.52,0.19246073905922514,0.2003058720153755,0.06758154516791597,9.930136612989092e-17,0.0
assembly_1,2,0.3,55,1.515060937195085,0.8534366,0.6372025277931244,0.838381811780289,1092.52,0.30734436270663346,0.26940416495711417,0.06583123674749,9.930136612989092e-17,0.0
assembly_1,2,0.3,60,1.3414243953768163,0.6806097999999999,0.6433173341909424,0.838381811780289,1092.52,0.21086750999277867,0.22295230074740202,0.03467888823398913,1.2161883888976234e-16,0.0
assembly_1,2,0.3,65,1.06555396837648,0.5069861999999999,0.5450024793390185,0.838381811780289,1092.52,0.18399169423064599,0.18079785641915114,0.0395019706583978,4.965068306494546e-17,0.0
assembly_1,2,0.3,70,1.1418005999876186,0.5532259999999999,0.5666767062153667,0.838381811780289,1092.52,0.345544855456094,0.3135432189737166,0.06307906779157996,8.599750569898517e-17,0.0
